DESCRIZIONE,ANNO1,ANNO2,KATA,KUMITE,PESOINIZIALE,PESOFINALE,CINTURADA,CINTURAA,SESSO,NOTE

KATA NAZIONALE

'Speranze dal 17mo al 19mo anno', 2006, 2004, 1, 0, 0, 0, 2, 3, 'F', 'Gialla/Arancio'
'Speranze dal 17mo al 19mo anno', 2006, 2004, 1, 0, 0, 0, 4, 5, 'F', 'Verde/Blu'
'Speranze dal 17mo al 19mo anno', 2006, 2004, 1, 0, 0, 0, 6, 6, 'F', 'Marrone'
'Speranze dal 17mo al 19mo anno', 2006, 2004, 1, 0, 0, 0, 7, 7, 'F', 'Nera'
'Juniores dal 20mo al 23mo anno', 2003, 2000, 1, 0, 0, 0, 1, 1, 'M', 'Bianca'
'Juniores dal 20mo al 23mo anno', 2003, 2000, 1, 0, 0, 0, 2, 3, 'M', 'Gialla/Arancio'
'Juniores dal 20mo al 23mo anno', 2003, 2000, 1, 0, 0, 0, 4, 5, 'M', 'Verde/Blu'
'Juniores dal 20mo al 23mo anno', 2003, 2000, 1, 0, 0, 0, 6, 6, 'M', 'Marrone'
'Juniores dal 20mo al 23mo anno', 2003, 2000, 1, 0, 0, 0, 7, 7, 'M', 'Nera'
'Juniores dal 20mo al 23mo anno', 2003, 2000, 1, 0, 0, 0, 1, 1, 'F', 'Bianca'
'Juniores dal 20mo al 23mo anno', 2003, 2000, 1, 0, 0, 0, 2, 3, 'F', 'Gialla/Arancio'
'Juniores dal 20mo al 23mo anno', 2003, 2000, 1, 0, 0, 0, 4, 5, 'F', 'Verde/Blu'
'Juniores dal 20mo al 23mo anno', 2003, 2000, 1, 0, 0, 0, 6, 6, 'F', 'Marrone'
'Juniores dal 20mo al 23mo anno', 2003, 2000, 1, 0, 0, 0, 7, 7, 'F', 'Nera'
'Seniores kata dal 24mo al 38mo anno', 1999, 1985, 1, 0, 0, 0, 1, 1, 'M', 'Bianca'
'Seniores kata dal 24mo al 38mo anno', 1999, 1985, 1, 0, 0, 0, 2, 3, 'M', 'Gialla/Arancio'
'Seniores kata dal 24mo al 38mo anno', 1999, 1985, 1, 0, 0, 0, 4, 5, 'M', 'Verde/Blu'
'Seniores kata dal 24mo al 38mo anno', 1999, 1985, 1, 0, 0, 0, 6, 6, 'M', 'Marrone'
'Seniores kata dal 24mo al 38mo anno', 1999, 1985, 1, 0, 0, 0, 7, 7, 'M', 'Nera'
'Seniores kata dal 24mo al 38mo anno', 1999, 1985, 1, 0, 0, 0, 1, 1, 'F', 'Bianca'
'Seniores kata dal 24mo al 38mo anno', 1999, 1985, 1, 0, 0, 0, 2, 3, 'F', 'Gialla/Arancio'
'Seniores kata dal 24mo al 38mo anno', 1999, 1985, 1, 0, 0, 0, 4, 5, 'F', 'Verde/Blu'
'Seniores kata dal 24mo al 38mo anno', 1999, 1985, 1, 0, 0, 0, 6, 6, 'F', 'Marrone'
'Seniores kata dal 24mo al 38mo anno', 1999, 1985, 1, 0, 0, 0, 7, 7, 'F', 'Nera'
'Amatori A dal 39mo al 50mo anno', 1984, 1973, 1, 0, 0, 0, 1, 3, 'M', 'Bianca/Gialla/Arancio'
'Amatori A dal 39mo al 50mo anno', 1984, 1973, 1, 0, 0, 0, 4, 6, 'M', 'Verde/Blu/Marrone'
'Amatori A dal 39mo al 50mo anno', 1984, 1973, 1, 0, 0, 0, 7, 7, 'M', 'Nera'
'Amatori A dal 39mo al 50mo anno', 1984, 1973, 1, 0, 0, 0, 1, 3, 'F', 'Bianca/Gialla/Arancio'
'Amatori A dal 39mo al 50mo anno', 1984, 1973, 1, 0, 0, 0, 4, 6, 'F', 'Verde/Blu/Marrone'
'Amatori A dal 39mo al 50mo anno', 1984, 1973, 1, 0, 0, 0, 7, 7, 'F', 'Nera'
'Amatori B dal 51mo anno', 1972, 1901, 1, 0, 0, 0, 1, 3, 'M', 'Bianca/Gialla/Arancio'
'Amatori B dal 51mo anno', 1972, 1901, 1, 0, 0, 0, 4, 6, 'M', 'Verde/Blu/Marrone'
'Amatori B dal 51mo anno', 1972, 1901, 1, 0, 0, 0, 7, 7, 'M', 'Nera'
'Amatori B dal 51mo anno', 1972, 1901, 1, 0, 0, 0, 1, 3, 'F', 'Bianca/Gialla/Arancio'
'Amatori B dal 51mo anno', 1972, 1901, 1, 0, 0, 0, 4, 6, 'F', 'Verde/Blu/Marrone'
'Amatori B dal 51mo anno', 1972, 1901, 1, 0, 0, 0, 7, 7, 'F', 'Nera'

KUMITE NAZIONALE

'Esordienti dal 13mo al 14mo anno', 2010, 2009, 0, 1, 0, 50, 4, 5, 'M', 'Verde/Blu'
'Esordienti dal 13mo al 14mo anno', 2010, 2009, 0, 1, 50, 99, 4, 5, 'M', ''
'Esordienti dal 13mo al 14mo anno', 2010, 2009, 0, 1, 0, 45, 4, 5, 'F', ''
'Esordienti dal 13mo al 14mo anno', 2010, 2009, 0, 1, 45, 99, 4, 5, 'F', ''
'Esordienti dal 13mo al 14mo anno', 2010, 2009, 0, 1, 0, 50, 6, 7, 'M', ''
'Esordienti dal 13mo al 14mo anno', 2010, 2009, 0, 1, 50, 99, 6, 7, 'M', ''
'Esordienti dal 13mo al 14mo anno', 2010, 2009, 0, 1, 0, 45, 6, 7, 'F', ''
'Esordienti dal 13mo al 14mo anno', 2010, 2009, 0, 1, 45, 99, 6, 7, 'F', ''
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 0, 1, 50, 65, 4, 5, 'M', ''
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 0, 1, 65, 99, 4, 5, 'M', ''
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 0, 1, 40, 99, 4, 5, 'F', ''
'Speranze dal 17mo al 19mo anno', 2006, 2004, 0, 1, 55, 65, 4, 5, 'M', ''
'Speranze dal 17mo al 19mo anno', 2006, 2004, 0, 1, 65, 99, 4, 5, 'M', ''
'Speranze dal 17mo al 19mo anno', 2006, 2004, 0, 1, 45, 99, 4, 5, 'F', ''
'Juniores dal 20mo al 23mo anno', 2003, 2000, 0, 1, 55, 70, 4, 5, 'M', ''
'Juniores dal 20mo al 23mo anno', 2003, 2000, 0, 1, 70, 99, 4, 5, 'M', ''
'Juniores dal 20mo al 23mo anno', 2003, 2000, 0, 1, 45, 99, 4, 5, 'F', ''
'Seniores dal 24mo al 35mo anno', 1999, 1988, 0, 1, 55, 70, 4, 5, 'M', ''
'Seniores dal 24mo al 35mo anno', 1999, 1988, 0, 1, 70, 99, 4, 5, 'M', ''
'Seniores dal 24mo al 35mo anno', 1999, 1988, 0, 1, 45, 99, 4, 5, 'F', ''
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 0, 1, 50, 65, 6, 6, 'M', ''
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 0, 1, 65, 99, 6, 6, 'M', ''
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 0, 1, 40, 99, 6, 6, 'F', ''
'Speranze dal 17mo al 19mo anno', 2006, 2004, 0, 1, 55, 65, 6, 6, 'M', ''
'Speranze dal 17mo al 19mo anno', 2006, 2004, 0, 1, 65, 99, 6, 6, 'M', ''
'Speranze dal 17mo al 19mo anno', 2006, 2004, 0, 1, 45, 99, 6, 6, 'F', ''
'Juniores dal 20mo al 23mo anno', 2003, 2000, 0, 1, 55, 65, 6, 6, 'M', ''
'Juniores dal 20mo al 23mo anno', 2003, 2000, 0, 1, 65, 75, 6, 6, 'M', ''
'Juniores dal 20mo al 23mo anno', 2003, 2000, 0, 1, 75, 99, 6, 6, 'M', ''
'Juniores dal 20mo al 23mo anno', 2003, 2000, 0, 1, 45, 55, 6, 6, 'F', ''
'Juniores dal 20mo al 23mo anno', 2003, 2000, 0, 1, 55, 99, 6, 6, 'F', ''
'Seniores dal 24mo al 35mo anno', 1999, 1988, 0, 1, 55, 65, 6, 6, 'M', ''
'Seniores dal 24mo al 35mo anno', 1999, 1988, 0, 1, 65, 75, 6, 6, 'M', ''
'Seniores dal 24mo al 35mo anno', 1999, 1988, 0, 1, 75, 99, 6, 6, 'M', ''
'Seniores dal 24mo al 35mo anno', 1999, 1988, 0, 1, 45, 55, 6, 6, 'F', ''
'Seniores dal 24mo al 35mo anno', 1999, 1988, 0, 1, 55, 99, 6, 6, 'F', ''
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 0, 1, 50, 65, 7, 7, 'M', ''
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 0, 1, 65, 99, 7, 7, 'M', ''
'Cadetti dal 15mo al 16mo anno', 2008, 2007, 0, 1, 40, 99, 7, 7, 'F', ''
'Speranze dal 17mo al 19mo anno', 2006, 2004, 0, 1, 55, 65, 7, 7, 'M', ''
'Speranze dal 17mo al 19mo anno', 2006, 2004, 0, 1, 65, 99, 7, 7, 'M', ''
'Speranze dal 17mo al 19mo anno', 2006, 2004, 0, 1, 45, 99, 7, 7, 'F', ''
'Juniores dal 20mo al 23mo anno', 2003, 2000, 0, 1, 55, 65, 7, 7, 'M', ''
'Juniores dal 20mo al 23mo anno', 2003, 2000, 0, 1, 65, 75, 7, 7, 'M', ''
'Juniores dal 20mo al 23mo anno', 2003, 2000, 0, 1, 75, 99, 7, 7, 'M', ''
'Seniores dal 24mo al 35mo anno', 1999, 1988, 0, 1, 55, 65, 7, 7, 'M', ''
'Seniores dal 24mo al 35mo anno', 1999, 1988, 0, 1, 65, 75, 7, 7, 'M', ''
'Seniores dal 24mo al 35mo anno', 1999, 1988, 0, 1, 75, 99, 7, 7, 'M', ''
'Juniores & Seniores dal 20mo al 35mo anno', 2003, 1988, 0, 1, 45, 55, 7, 7, 'F', ''
'Juniores & Seniores dal 20mo al 35mo anno', 2003, 1988, 0, 1, 55, 99, 7, 7, 'F', ''













265, 2, 'Fascia A', 2018, 2015, 1, 0, 0, 0, 1, 1, 'U', 'Bianca'
266, 2, 'Fascia A', 2018, 2015, 1, 0, 0, 0, 2, 3, 'U', 'Gialla/Arancio'
267, 2, 'Fascia A', 2018, 2015, 1, 0, 0, 0, 4, 5, 'U', 'Verde/Blu'
268, 2, 'Fascia B', 2014, 2013, 1, 0, 0, 0, 1, 1, 'M', 'Bianca'
269, 2, 'Fascia B', 2014, 2013, 1, 0, 0, 0, 2, 3, 'M', 'Gialla/Arancio'
270, 2, 'Fascia B', 2014, 2013, 1, 0, 0, 0, 4, 5, 'M', 'Verde/Blu'
271, 2, 'Fascia B', 2014, 2013, 1, 0, 0, 0, 6, 6, 'M', 'Marrone'
272, 2, 'Fascia B', 2014, 2013, 1, 0, 0, 0, 1, 1, 'F', 'Bianca'
273, 2, 'Fascia B', 2014, 2013, 1, 0, 0, 0, 2, 3, 'F', 'Gialla/Arancio'
274, 2, 'Fascia B', 2014, 2013, 1, 0, 0, 0, 4, 5, 'F', 'Verde/Blu'
275, 2, 'Fascia B', 2014, 2013, 1, 0, 0, 0, 6, 6, 'F', 'Marrone'
276, 2, 'Fascia C', 2012, 2011, 1, 0, 0, 0, 1, 1, 'M', 'Bianca'
277, 2, 'Fascia C', 2012, 2011, 1, 0, 0, 0, 2, 3, 'M', 'Gialla/Arancio'
278, 2, 'Fascia C', 2012, 2011, 1, 0, 0, 0, 4, 5, 'M', 'Verde/Blu'
279, 2, 'Fascia C', 2012, 2011, 1, 0, 0, 0, 6, 7, 'M', 'Marrone/Nera'
280, 2, 'Fascia C', 2012, 2011, 1, 0, 0, 0, 1, 1, 'F', 'Bianca'
281, 2, 'Fascia C', 2012, 2011, 1, 0, 0, 0, 2, 3, 'F', 'Gialla/Arancio'
282, 2, 'Fascia C', 2012, 2011, 1, 0, 0, 0, 4, 5, 'F', 'Verde/Blu'
283, 2, 'Fascia C', 2012, 2011, 1, 0, 0, 0, 6, 7, 'F', 'Marrone/Nera'
284, 2, 'Esordienti dal 13mo al 14mo anno', 2010, 2009, 1, 0, 0, 0, 1, 1, 'M', 'Bianca'
285, 2, 'Esordienti dal 13mo al 14mo anno', 2010, 2009, 1, 0, 0, 0, 2, 3, 'M', 'Gialla/Arancio'
286, 2, 'Esordienti dal 13mo al 14mo anno', 2010, 2009, 1, 0, 0, 0, 4, 5, 'M', 'Verde/Blu'
287, 2, 'Esordienti dal 13mo al 14mo anno', 2010, 2009, 1, 0, 0, 0, 6, 7, 'M', 'Marrone/Nera'
288, 2, 'Esordienti dal 13mo al 14mo anno', 2010, 2009, 1, 0, 0, 0, 1, 1, 'F', 'Bianca'
289, 2, 'Esordienti dal 13mo al 14mo anno', 2010, 2009, 1, 0, 0, 0, 2, 3, 'F', 'Gialla/Arancio'
290, 2, 'Esordienti dal 13mo al 14mo anno', 2010, 2009, 1, 0, 0, 0, 4, 5, 'F', 'Verde/Blu'
291, 2, 'Esordienti dal 13mo al 14mo anno', 2010, 2009, 1, 0, 0, 0, 6, 7, 'F', 'Marrone/Nera'
292, 2, 'Cadetti/Speranze', 2008, 2004, 1, 0, 0, 0, 1, 1, 'M', 'Bianca'
293, 2, 'Cadetti/Speranze', 2008, 2004, 1, 0, 0, 0, 2, 3, 'M', 'Gialla/Arancio'
294, 2, 'Cadetti/Speranze', 2008, 2004, 1, 0, 0, 0, 4, 5, 'M', 'Verde/Blu'
295, 2, 'Cadetti/Speranze', 2008, 2004, 1, 0, 0, 0, 6, 6, 'M', 'Marrone'
296, 2, 'Cadetti/Speranze', 2008, 2004, 1, 0, 0, 0, 7, 7, 'M', 'Nera'
297, 2, 'Cadetti/Speranze', 2008, 2004, 1, 0, 0, 0, 1, 1, 'F', 'Bianca'
298, 2, 'Cadetti/Speranze', 2008, 2004, 1, 0, 0, 0, 2, 3, 'F', 'Gialla/Arancio'
299, 2, 'Cadetti/Speranze', 2008, 2004, 1, 0, 0, 0, 4, 5, 'F', 'Verde/Blu'
300, 2, 'Cadetti/Speranze', 2008, 2004, 1, 0, 0, 0, 6, 6, 'F', 'Marrone'
301, 2, 'Cadetti/Speranze', 2008, 2004, 1, 0, 0, 0, 7, 7, 'F', 'Nera'
302, 2, 'Juniores/Seniores', 2003, 1985, 1, 0, 0, 0, 1, 1, 'M', 'Bianca'
303, 2, 'Juniores/Seniores', 2003, 1985, 1, 0, 0, 0, 2, 3, 'M', 'Gialla/Arancio'
304, 2, 'Juniores/Seniores', 2003, 1985, 1, 0, 0, 0, 4, 5, 'M', 'Verde/Blu'
305, 2, 'Juniores/Seniores', 2003, 1985, 1, 0, 0, 0, 6, 6, 'M', 'Marrone'
306, 2, 'Juniores/Seniores', 2003, 1985, 1, 0, 0, 0, 7, 7, 'M', 'Nera'
307, 2, 'Juniores/Seniores', 2003, 1985, 1, 0, 0, 0, 1, 1, 'F', 'Bianca'
308, 2, 'Juniores/Seniores', 2003, 1985, 1, 0, 0, 0, 2, 3, 'F', 'Gialla/Arancio'
309, 2, 'Juniores/Seniores', 2003, 1985, 1, 0, 0, 0, 4, 5, 'F', 'Verde/Blu'
310, 2, 'Juniores/Seniores', 2003, 1985, 1, 0, 0, 0, 6, 6, 'F', 'Marrone'
311, 2, 'Juniores/Seniores', 2003, 1985, 1, 0, 0, 0, 7, 7, 'F', 'Nera'
312, 2, 'Amatori A dal 39mo al 50mo anno', 1984, 1973, 1, 0, 0, 0, 1, 3, 'U', 'Bianca/Gialla/Arancio'
313, 2, 'Amatori A dal 39mo al 50mo anno', 1984, 1973, 1, 0, 0, 0, 4, 6, 'U', 'Verde/Blu/Marrone'
314, 2, 'Amatori A dal 39mo al 50mo anno', 1984, 1973, 1, 0, 0, 0, 7, 7, 'U', 'Nera'
315, 2, 'Amatori B dal 51mo anno', 1972, 1901, 1, 0, 0, 0, 1, 3, 'U', 'Bianca/Gialla/Arancio'
316, 2, 'Amatori B dal 51mo anno', 1972, 1901, 1, 0, 0, 0, 4, 6, 'U', 'Verde/Blu/Marrone'
317, 2, 'Amatori B dal 51mo anno', 1972, 1901, 1, 0, 0, 0, 7, 7, 'U', 'Nera'
318, 2, 'Fascia A', 2018, 2015, 0, 1, 0, 99, 1, 3, 'U', 'Bianca/Gialla/Arancio'
319, 2, 'Fascia A', 2018, 2015, 0, 1, 0, 99, 4, 5, 'U', 'Verde/Blu'
320, 2, 'Fascia B', 2014, 2013, 0, 1, 0, 99, 1, 3, 'M', 'Bianca/Gialla/Arancio'
321, 2, 'Fascia B', 2014, 2013, 0, 1, 0, 99, 4, 5, 'M', 'Verde/Blu'
322, 2, 'Fascia B', 2014, 2013, 0, 1, 0, 99, 6, 6, 'M', 'Marrone'
323, 2, 'Fascia B', 2014, 2013, 0, 1, 0, 99, 1, 3, 'F', 'Bianca/Gialla/Arancio'
324, 2, 'Fascia B', 2014, 2013, 0, 1, 0, 99, 4, 5, 'F', 'Verde/Blu'
325, 2, 'Fascia B', 2014, 2013, 0, 1, 0, 99, 6, 6, 'F', 'Marrone'
326, 2, 'Fascia C', 2012, 2011, 0, 1, 0, 99, 1, 3, 'M', 'Bianca/Gialla/Arancio'
327, 2, 'Fascia C', 2012, 2011, 0, 1, 0, 99, 4, 5, 'M', 'Verde/Blu'
328, 2, 'Fascia C', 2012, 2011, 0, 1, 0, 99, 6, 7, 'M', 'Marrone/Nera'
329, 2, 'Fascia C', 2012, 2011, 0, 1, 0, 99, 1, 3, 'F', 'Bianca/Gialla/Arancio'
330, 2, 'Fascia C', 2012, 2011, 0, 1, 0, 99, 4, 5, 'F', 'Verde/Blu'
331, 2, 'Fascia C', 2012, 2011, 0, 1, 0, 99, 6, 7, 'F', 'Marrone/Nera'
332, 2, 'Esordienti dal 13mo al 14mo anno', 2010, 2009, 0, 1, 0, 99, 1, 3, 'M', 'Bianca/Gialla/Arancio'
333, 2, 'Esordienti dal 13mo al 14mo anno', 2010, 2009, 0, 1, 0, 99, 4, 5, 'M', 'Verde/Blu'
334, 2, 'Esordienti dal 13mo al 14mo anno', 2010, 2009, 0, 1, 0, 99, 6, 7, 'M', 'Marrone/Nera'
335, 2, 'Esordienti dal 13mo al 14mo anno', 2010, 2009, 0, 1, 0, 99, 1, 3, 'F', 'Bianca/Gialla/Arancio'
336, 2, 'Esordienti dal 13mo al 14mo anno', 2010, 2009, 0, 1, 0, 99, 4, 5, 'F', 'Verde/Blu'
337, 2, 'Esordienti dal 13mo al 14mo anno', 2010, 2009, 0, 1, 0, 99, 6, 7, 'F', 'Marrone/Nera'
338, 2, 'Cadetti/Speranze', 2008, 2004, 0, 1, 0, 99, 1, 3, 'M', 'Bianca/Gialla/Arancio'
339, 2, 'Cadetti/Speranze', 2008, 2004, 0, 1, 0, 65, 4, 5, 'M', 'Verde/Blu'
340, 2, 'Cadetti/Speranze', 2008, 2004, 0, 1, 0, 65, 6, 7, 'M', 'Marroni/Nere <65kg'
341, 2, 'Cadetti/Speranze', 2008, 2004, 0, 1, 66, 99, 6, 7, 'M', 'Marroni/Nere >65kg'
342, 2, 'Cadetti/Speranze', 2008, 2004, 0, 1, 0, 99, 1, 3, 'F', 'Bianca/Gialla/Arancio'
343, 2, 'Cadetti/Speranze', 2008, 2004, 0, 1, 0, 65, 4, 5, 'F', 'Verde/Blu'
344, 2, 'Cadetti/Speranze', 2008, 2004, 0, 1, 0, 50, 6, 7, 'F', 'Marroni/Nere <50kg'
345, 2, 'Cadetti/Speranze', 2008, 2004, 0, 1, 51, 99, 6, 7, 'F', 'Marroni/Nere >50kg'
346, 2, 'Juniores/Seniores', 2003, 1988, 0, 1, 0, 99, 1, 3, 'M', 'Bianca/Gialla/Arancio'
347, 2, 'Juniores/Seniores', 2003, 1988, 0, 1, 0, 99, 4, 5, 'M', 'Verde/Blu'
348, 2, 'Juniores/Seniores', 2003, 1988, 0, 1, 0, 70, 6, 7, 'M', 'Marroni/Nere'
349, 2, 'Juniores/Seniores', 2003, 1988, 0, 1, 71, 99, 6, 7, 'M', 'Marroni/Nere'
350, 2, 'Juniores/Seniores', 2003, 1988, 0, 1, 0, 99, 1, 3, 'F', 'Bianca/Gialla/Arancio'
351, 2, 'Juniores/Seniores', 2003, 1988, 0, 1, 0, 99, 4, 5, 'F', 'Verde/Blu'
352, 2, 'Juniores/Seniores', 2003, 1988, 0, 1, 0, 55, 6, 7, 'F', 'Marroni/Nere'
353, 2, 'Juniores/Seniores', 2003, 1988, 0, 1, 56, 99, 6, 7, 'F', 'Marroni/Nere'
