DESCRIZIONE,ANNO1,ANNO2,CINTURADA,CINTURAA,SESSO,NOTE
Amatori A dal 39mo al 50mo anno,1984,1973,Bianca,Arancio,M,Bianca/Gialla/Arancio
Amatori A dal 39mo al 50mo anno,1984,1973,Verde,Marrone,M,Verde/Blu/Marrone
Amatori A dal 39mo al 50mo anno,1984,1973,Nera,Nera,M,Nera
Amatori A dal 39mo al 50mo anno,1984,1973,Bianca,Arancio,F,Bianca/Gialla/Arancio
Amatori A dal 39mo al 50mo anno,1984,1973,Verde,Marrone,F,Verde/Blu/Marrone
Amatori A dal 39mo al 50mo anno,1984,1973,Nera,Nera,F,Nera
Amatori B dal 51mo anno,1972,1901,Bianca,Arancio,M,Bianca/Gialla/Arancio
Amatori B dal 51mo anno,1972,1901,Verde,Marrone,M,Verde/Blu/Marrone
Amatori B dal 51mo anno,1972,1901,Nera,Nera,M,Nera
Amatori B dal 51mo anno,1972,1901,Bianca,Arancio,F,Bianca/Gialla/Arancio
Amatori B dal 51mo anno,1972,1901,Verde,Marrone,F,Verde/Blu/Marrone
Amatori B dal 51mo anno,1972,1901,Nera,Nera,F,Nera
